id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
86,,2023-12-28 19:31,은행,식비,,"요아정(14,xxx)-지민",20000,지출,
87,,2023-12-28 19:31,은행,부수입,,편입조교,111550,수입,
88,70,2023-12-27 19:30,은행,여행,,후쿠오카비행기,225300,지출,
89,104,2023-12-26 19:30,은행,기타,,교통사고,700000,수입,
90,,2023-12-26 12:30,은행,식비,,학교알바 점심,5900,지출,
91,95,2023-12-25 19:29,은행,여행,,춘천 먹은 거 + 택시,54750,지출,
92,95,2023-12-24 19:27,은행,교통/차량,,춘천오는기차(8600),10000,지출,
93,95,2023-12-24 19:27,은행,식비,,춘천카페,7000,지출,
94,95,2023-12-24 19:27,은행,선물,,춘천주류마켓,38300,지출,
95,,2023-12-24 19:27,일정,여행,,춘천둥이,110050,,
96,,2023-12-23 19:25,은행,선물,,춘천선물(과실주),19000,지출,
97,,2023-12-23 19:25,은행,식비,,달콤이네,7400,지출,
98,,2023-12-23 19:25,은행,식비,,춘천케이크n빵,7875,지출,
99,104,2023-12-22 19:24,은행,교육,,운전면허학원,470000,지출,
100,104,2023-12-21 19:22,은행,교육,,운전면허 신검,6000,지출,
101,104,2023-12-21 19:22,은행,교육,,운전필기,10000,지출,
102,104,2023-12-21 19:22,현금,교육,,운전면허학원,50000,지출,
103,,2023-12-21 19:22,은행,식비,,와플-지민,10000,지출,
104,,2023-12-21 19:22,일정,일정,,운전면허학원,110000,,
105,110,2023-12-20 17:02,은행,선물,,애기들선물,48000,지출,"포켓몬 카드 9,000+10,000
기차 22,000
인형 7,000"
106,110,2023-12-20 17:02,은행,식비,,스벅-재철,6300,지출,
107,110,2023-12-20 17:02,은행,문화생활,,냐루토+이타치+쿠지+갑타,58000,지출,
108,110,2023-12-20 17:02,은행,문화생활,,나루토 오뚜기,4500,지출,
109,,2023-12-20 17:02,은행,기타,,채원이부탁+민아아카기,30000,수입,
110,,2023-12-20 17:02,일정,약속,,재철국전,116800,,
111,,2023-12-19 16:59,은행,문화생활,,플로결제,1580,지출,
112,,2023-12-17 16:59,은행,문화생활,,주회랜덤깡,3000,지출,
113,,2023-12-17 16:59,은행,식비,,아웃닭-자두호빵,10780,지출,
114,,2023-12-16 16:55,은행,식비,,씨유,2500,지출,
115,119,2023-12-16 16:55,은행,경조사/회비,,"채원이생일케이크(카카오페이 8,400원)",10000,지출,
116,,2023-12-16 16:55,은행,식비,,엽떡-지민//네이버페이2.0,9000,지출,
117,119,2023-12-15 18:54,은행,식비,,중경식객-채원이생일,21500,지출,
118,119,2023-12-15 16:54,은행,경조사/회비,,채원이생일-아트박스,14000,지출,
119,,2023-12-15 16:54,일정,약속,,채원이생파,45500,,
120,,2023-12-14 16:41,은행,식비,,산사탕후루,6400,지출,
121,,2023-12-13 16:41,은행,문화생활,,영수일본,70000,지출,
122,,2023-12-13 16:41,은행,식비,,씨유,1900,지출,
123,,2023-12-12 16:39,은행,교통/차량,,춘천가는기차(8600),10000,지출,
124,,2023-12-11 16:38,은행,식비,,투썸카공,2400,지출,
125,,2023-12-11 16:38,은행,문화생활,,넷플,4250,지출,
126,,2023-12-10 16:36,은행,문화생활,,네이버페이-미스터블루,10000,지출,
127,,2023-12-07 16:36,은행,부수입,,논술조교알바,53350,수입,
128,,2023-12-05 16:34,은행,기타,,해비타트,10000,지출,
129,,2023-12-05 16:34,은행,식비,,투썸카공,4700,지출,
130,,2023-12-05 16:34,은행,패션/미용,,"포렌코즈틴트-지민(30,700)",15700,지출,
131,,2023-12-04 16:33,은행,식비,,아이스크림,2600,지출,
132,,2023-12-04 16:33,은행,경조사/회비,,엄마장미꽃,6000,지출,
133,,2023-12-03 16:30,은행,기타,,준수냥이-효정,5900,수입,
134,,2023-12-03 16:30,은행,식비,,빵준온-영수오마카세,21000,지출,
135,,2023-12-03 16:30,은행,문화생활,,리디충전,100000,지출,
136,,2023-12-02 16:30,은행,식비,,설빙-집,24800,지출,
137,,2023-12-01 0:46,은행,문화생활,,리디충전,100000,지출,
138,,2023-12-01 0:46,은행,용돈,,,300000,수입,
139,,2023-11-30 0:45,은행,식비,,"피자헛-집(25,250원)",30000,지출,
140,,2023-11-30 0:45,은행,월급,,,499042,수입,
141,143,2023-11-27 23:47,은행,식비,,안테이쿠돈룩업-영수자두비차레기,30000,지출,
142,,2023-11-27 23:47,은행,패션/미용,,헌헌티셔츠,29000,지출,
143,,2023-11-27 23:47,일정,약속,,안테이쿠,30000,,
144,,2023-11-26 23:46,은행,식비,,산청자매훠궈-논술조교끝나고•••,21000,지출,
145,148,2023-11-26 23:46,은행,식비,,"초밥-영수뚱이(18000원, 23일)",20000,지출,
