id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
355,,2023-05-21 11:16,일정,약속,,영수,32200,,
356,,2023-05-20 11:22,은행,식비,,애기,10850,지출,
357,,2023-05-19 11:21,은행,문화생활,,플로결제,1580,지출,
358,,2023-05-16 11:19,은행,기타,,운동스터디 벌금,2000,지출,
359,360,2023-05-16 11:19,은행,식비,,마라샹궈-샌드오구용한,12700,지출,한강소풍(14일)
360,,2023-05-14 11:19,일정,약속,,한강팟,12700,,
361,,2023-05-13 11:18,은행,문화생활,,네이버페이충전-네이버플러스월간이용권+무모하고나약하게,10000,지출,
362,,2023-05-12 11:17,은행,식비,,마라샹궈- 이지민화궁방이지민 통합,4000,지출,
363,,2023-05-11 11:02,은행,문화생활,,넷플,4250,지출,
364,369,2023-05-11 11:02,은행,식비,,편의점-대동제루시용,3200,지출,
365,369,2023-05-11 11:02,은행,식비,,쥬시-영수,4000,지출,
366,369,2023-05-11 11:02,은행,식비,,대동제,3500,지출,
367,369,2023-05-11 11:02,은행,식비,,대동제,2000,지출,
368,369,2023-05-11 11:02,은행,식비,,스튜푸딩,5500,지출,
369,,2023-05-11 11:02,일정,일정,,대동제,18200,,
370,,2023-05-08 11:02,은행,기타,,해비타트,10000,지출,
371,,2023-05-04 10:57,은행,식비,,파스타어때-엄마지민//네이버페이충전,20000,지출,
372,374,2023-05-01 10:54,은행,식비,,부산 카페-엄마랑,18500,지출,
373,374,2023-05-01 10:54,은행,문화생활,,치이카와 키링(부산),6000,지출,
374,,2023-05-01 10:54,일정,여행,,엄마랑 부산,24500,,
375,,2023-05-01 10:54,은행,용돈,,,300000,수입,
376,378,2023-04-30 10:49,은행,식비,,빵준카페 음료,5500,지출,
377,378,2023-04-30 10:49,은행,식비,,탐탐,5800,지출,
378,,2023-04-30 10:49,일정,약속,,카페투어-영수효정,11300,,
379,383,2023-04-28 20:05,은행,문화생활,,존윅영화(26일,7000,지출,
380,,2023-04-28 20:05,은행,문화생활,,봄툰충전,11900,지출,
381,,2023-04-28 20:05,은행,문화생활,,왬 갑타 포카,10500,지출,
382,383,2023-04-26 20:06,은행,식비,,노란집카레-존윅영수하암,7200,지출,
383,,2023-04-26 20:06,일정,약속,,존윅팟,14200,,
384,,2023-04-21 20:07,은행,식비,,꿔바로우-애기(6800,10000,지출,
385,,2023-04-19 20:07,은행,문화생활,,플로결제,790,지출,
386,388,2023-04-18 20:08,은행,식비,,떡볶이-몽실쿠스가람(네이버페이30000,7250,지출,
387,388,2023-04-18 20:08,은행,식비,,요아정-가람쿠스몽실,20000,지출,
388,,2023-04-18 20:08,일정,약속,,우리집으로,27250,,
389,,2023-04-17 20:12,은행,교육,,정처기 필기 접수,19400,지출,
390,,2023-04-15 16:45,은행,식비,,3월1차2차+오늘 마라샹궈 정산-지민,30000,지출,
391,,2023-04-14 20:13,은행,문화생활,,포타충전(5000,10000,지출,
392,,2023-04-13 20:12,은행,문화생활,,평자사 갑타 폴라(나중에 분철,22000,지출,
393,,2023-04-12 2:09,은행,문화생활,,넷플,4250,지출,
394,,2023-04-12 2:09,은행,기타,,적금,300000,지출,
395,396,2023-04-11 2:08,은행,식비,,마라샹궈-몽실//영화본날(9일),10500,지출,
396,,2023-04-09 2:07,일정,약속,,몽실영화,20500,,
397,396,2023-04-08 2:07,은행,문화생활,,영화리바운드-몽실//9000원,10000,지출,
398,401,2023-04-06 2:07,은행,여행,,면세금문고량주,24300,지출,
399,,2023-04-05 2:06,은행,기타,,해비타트,10000,지출,
400,401,2023-04-02 2:06,은행,식비,,대만출국전식사,8500,지출,
401,,2023-04-02 2:06,일정,여행,,"대만여행 - 윤애,몽실",531625,,400000 용돈처리완
402,,2023-04-01 2:09,은행,용돈,,,500000,수입,
403,407,2023-03-26 2:01,은행,식비,,카페로 마무리,13800,지출,
404,401,2023-03-26 2:01,은행,여행,,대만버스투어//네이버페이3만원,10900,지출,
405,407,2023-03-26 2:01,은행,식비,,즉떡+피자-윤애몽실,14400,지출,
406,401,2023-03-26 2:01,은행,여행,,대만경비,340000,지출,
407,,2023-03-26 2:01,일정,약속,,대만팟 일정짜기,28200,,
408,,2023-03-25 1:59,은행,기타,,24시만화카페,3000,지출,
409,410,2023-03-23 1:59,은행,문화생활,,만카-딩딩은비,8500,지출,딩딩이 밥 사줌ㅎ
410,,2023-03-23 1:59,일정,약속,,딩딩은비데이트,8500,,
411,401,2023-03-21 17:17,은행,여행,,여행자보험,8130,지출,
412,401,2023-03-21 17:17,은행,여행,,다이소돼지코,995,지출,
413,401,2023-03-21 17:17,은행,여행,,유심//네이버페이-30000원,9900,지출,
414,416,2023-03-21 17:17,은행,식비,,카페,5000,지출,
415,416,2023-03-21 17:17,은행,식비,,솔솥-윤애몽실//대만,16000,지출,
416,,2023-03-21 17:17,일정,약속,,대만팟 등산모임,21000,,
417,,2023-03-17 17:16,은행,문화생활,,네이버페이-지민펀딩,20000,지출,
418,,2023-03-14 17:13,은행,식비,,지코바//네이버페이-30000원,8340,지출,
419,,2023-03-14 17:13,은행,문화생활,,카카오페이-따릉이//몽실은비,10000,지출,
420,401,2023-03-14 17:13,은행,기타,,대만여행-용돈받음ㅋㅋ,400000,수입,
421,,2023-03-14 17:13,일정,약속,,한강자전거,18340,,
422,401,2023-03-13 17:12,은행,여행,,대만여행-숙소,177400,지출,
423,,2023-03-11 17:10,은행,문화생활,,넷플,4250,지출,
424,427,2023-03-11 17:10,은행,식비,,몽실이집(2/2),11340,지출,
425,401,2023-03-10 17:11,은행,여행,,대만여행-비행기,351500,지출,
426,427,2023-03-09 17:10,은행,식비,,몽실이집,3900,지출,
427,,2023-03-09 17:10,일정,약속,,몽하,15240,,
428,,2023-03-07 17:09,은행,교육,,인프런 스프링,92400,지출,
429,,2023-03-07 17:09,은행,문화생활,,네이버페이-시리즈쿠키,10000,지출,
430,,2023-03-06 17:08,은행,식비,,이대씨유,2200,지출,
431,,2023-03-06 17:08,은행,기타,,해비타트,10000,지출,
432,,2023-03-06 17:08,은행,식비,,가야가야-이대앞,9500,지출,
433,,2023-03-04 17:07,은행,문화생활,,네이버페이-레진//월월충전,20000,지출,해지해야...
434,,2023-03-02 17:06,은행,식비,,12500원 마라탕-지민,10000,지출,
435,,2023-03-01 17:06,은행,용돈,,,300000,수입,
436,,2023-02-24 17:05,은행,식비,,11250원 뭐먹었지-지민,20000,지출,
437,,2023-02-21 17:04,은행,기타,,국고환급,1250000,수입,
438,,2023-02-21 17:03,은행,문화생활,,슬램덩크 만화책,125393,지출,
439,,2023-02-20 17:03,은행,기타,,운동스터디 벌금,500,지출,
440,,2023-02-14 17:03,은행,문화생활,,넷플,4250,지출,
441,,2023-02-11 14:09,은행,식비,,"훠궈-날숙, 요롱//슬램덩크자막",18900,지출,
442,444,2023-02-11 14:09,은행,식비,,편의점,1800,지출,
443,,2023-02-11 14:09,은행,문화생활,,프박,12000,지출,
444,,2023-02-11 14:09,일정,약속,,슬덩데이트,18900,,
445,,2023-02-07 14:08,은행,생활용품,,네이버페이-인터넷선연결잭+포타충전,20000,지출,
446,,2023-02-06 14:06,은행,기타,,해비타트,10000,지출,
447,,2023-02-06 14:06,은행,문화생활,,프박,5000,지출,
448,449,2023-02-06 14:06,은행,식비,,몽실이집(2/2),19000,지출,
449,,2023-02-06 14:06,일정,약속,,몽하,19000,,
450,,2023-02-04 14:05,은행,식비,,공차-지민,1000,지출,
451,,2023-02-04 14:05,은행,문화생활,,프박,9000,지출,
452,,2023-02-04 14:05,은행,문화생활,,네이버페이-레진,20000,지출,
453,,2023-02-01 0:22,은행,용돈,,,300000,수입,
454,,2023-01-31 0:18,은행,식비,,맥도날드/엄마지민,17400,지출,
455,,2023-01-31 0:18,은행,기타,,운동스터디 벌금,1000,지출,
456,,2023-01-25 0:18,은행,문화생활,,카카오페이-갑타스티커,10000,지출,
457,,2023-01-25 0:17,은행,식비,,카카오페이-떡볶이/지민,10000,지출,
458,,2023-01-24 0:16,은행,기타,,세뱃돈,300000,수입,
459,,2023-01-19 0:15,은행,용돈,,생일선물^^-엄마,200000,수입,
460,,2023-01-15 0:15,은행,식비,,편의점,4200,지출,
461,462,2023-01-12 0:14,은행,식비,,육회카페-오구몽실키지,37360,지출,
462,,2023-01-12 0:14,일정,약속,,육회팟,37360,,
463,,2023-01-11 0:12,은행,식비,,카카오페이-햄버거,10000,지출,
464,,2023-01-11 0:12,은행,문화생활,,넷플,4250,지출,
465,,2023-01-10 0:10,은행,문화생활,,네이버페이-리디충전,10000,지출,
466,,2023-01-10 0:10,은행,기타,,아빠현금->엄마이체,50000,수입,
467,,2023-01-09 0:08,은행,식비,,닭가슴살공구,24570,지출,
468,469,2023-01-09 0:08,은행,식비,,양꼬치만카-짝아몽실,37000,지출,
469,,2023-01-09 0:08,일정,약속,,명봉반점데이트,37000,,
470,,2023-01-06 0:07,은행,문화생활,,네코누이2차금,3029,지출,
471,,2023-01-06 0:07,은행,문화생활,,네코누이2차금,1852,지출,
472,,2023-01-05 0:06,은행,문화생활,,햄깅인형,15600,지출,
473,,2023-01-05 0:06,은행,기타,,해비타트,10000,지출,
474,477,2023-01-02 0:05,은행,문화생활,,만카-하암,22000,지출,
475,477,2023-01-02 0:05,은행,식비,,그리네카페-하암,9400,지출,
476,477,2023-01-02 0:05,은행,기타,,양말빵꾸,1500,지출,
477,,2023-01-02 0:05,일정,약속,,하암데이트,32900,,
478,,2023-01-01 0:19,은행,용돈,,,300000,수입,
479,,2022-11-25 3:01,은행,문화생활,,봄툰충전,30000,지출,
480,,2022-11-24 3:00,은행,식비,,엽떡-공대팀토10명..,4800,지출,
481,,2022-11-24 3:00,은행,식비,,커피배달-공대팀토..(23일,4185,지출,
482,,2022-11-23 18:27,은행,기타,,지민-엄마/쌍둥이언니생일선물,52000,수입,엄마생선 둘이합쳐142000//49000+3000
483,,2022-11-23 18:27,은행,경조사/회비,,엄마생일선물(냄비),120000,지출,꽃/화병이랑합쳐서나중에계산
484,,2022-11-23 18:27,은행,식비,,마라찜닭-윤애티밀펭복퍼랭영수,10800,지출,
485,,2022-11-22 18:27,현금,교통/차량,,큰아빠용돈교통비로,50000,지출,
486,,2022-11-21 18:26,은행,여행,,여권사진,15000,지출,
487,,2022-11-21 18:26,은행,여행,,여권발급,53000,지출,
488,,2022-11-20 18:26,은행,문화생활,,네이버페이-시리즈쿠키,10000,지출,
489,490,2022-11-17 18:24,은행,식비,,죠티-몽실오구윤애샌드지니,15550,지출,
490,,2022-11-17 18:24,일정,약속,,죠티팟,15550,,
491,,2022-11-16 18:22,은행,여행,,일본숙소4박,97180,지출,
492,,2022-11-16 18:22,은행,식비,,마라샹궈-티밀//17일참고,12750,지출,
493,,2022-11-16 18:22,은행,식비,,학생회실떡볶이+a,1620,지출,
494,,2022-11-16 18:22,은행,문화생활,,이화우스과자집,2500,지출,
495,,2022-11-16 18:22,은행,식비,,생협주먹밥계란물,4450,지출,
496,,2022-11-15 18:21,은행,식비,,딸기골-영수티밀,5500,지출,
497,,2022-11-14 18:21,은행,문화생활,,넷플,4250,지출,
498,,2022-11-12 18:20,은행,문화생활,,봄툰충전,11900,지출,
499,,2022-11-12 2:50,은행,기타,,엄마당근,15000,수입,수입1.5중 1.2로 생일케이크애기몫충당
500,501,2022-11-11 18:20,은행,경조사/회비,,쌍둥이언니생일케이크,27800,지출,
501,,2022-11-11 18:20,일정,생일,,지현지은언니생일,27800,,
502,,2022-11-09 18:19,은행,식비,,생협계란물,1950,지출,
503,,2022-11-07 23:58,은행,기타,,해비타트,10000,지출,
504,,2022-11-07 23:58,은행,식비,,마라탕-은비,12140,지출,
505,507,2022-11-05 23:57,은행,식비,,영수생파치킨,7000,지출,
506,507,2022-11-04 23:57,은행,경조사/회비,,영수생파대관,17500,지출,
507,,2022-11-04 23:57,일정,약속,,영수생파,24500,,
508,,2022-11-03 23:56,은행,식비,,마라샹궈크림새우꿔바로우-오구몽실영수,18560,지출,
509,,2022-11-02 15:14,은행,경조사/회비,,아빠생일,51600,지출,
510,,2022-11-02 15:14,은행,식비,,찜닭-샌드,14500,지출,
511,,2022-11-02 15:14,은행,식비,,공대학식-민아,5500,지출,
512,,2022-11-01 15:12,은행,식비,,치킨,6750,지출,
513,,2022-11-01 15:12,은행,식비,,떡볶이순대만두-몽실영수민아채원공룡,2250,지출,
514,,2022-11-01 12:12,은행,용돈,,,300000,수입,
515,,2022-10-31 15:11,은행,식비,,할리우드-민아,9000,지출,
516,,2022-10-30 15:10,은행,문화생활,,봄툰충전,11908,지출,
517,,2022-10-28 11:14,은행,식비,,마라샹궈(25일)-예현영수몽실,12250,지출,
518,,2022-10-28 11:14,은행,식비,,어바웃샤브-지니필수,12600,지출,
519,520,2022-10-28 11:14,은행,식비,,태흥빙실-은비공룡윤애피로지니필수호빵,7000,지출,
520,,2022-10-28 11:14,일정,약속,,태흥빙실팟,7000,,
521,,2022-10-27 11:11,은행,식비,,이화성-몽실영수공룡색칠퍼랭아딱지요롱,11600,지출,
522,,2022-10-26 11:10,은행,식비,,신촌칼국수호밀밭-샌드몽실딱지,16125,지출,
523,,2022-10-26 11:10,은행,식비,,생협아이스티,1500,지출,
524,,2022-10-25 11:08,은행,식비,,솔리드웍스-공대팀토,3777,지출,
525,,2022-10-24 14:38,은행,식비,,떡볶이치킨-많음..,7500,지출,
526,,2022-10-24 14:38,은행,식비,,해둥케이크-많음..,4000,지출,
527,,2022-10-24 14:38,은행,식비,,생협주먹밥계란,3150,지출,
528,,2022-10-24 14:38,은행,식비,,타코야끼-공대밤샘,3625,지출,
529,,2022-10-24 14:38,은행,식비,,지에스-레몬녹차,900,지출,
530,,2022-10-21 20:01,은행,식비,,생협아이스티,2800,지출,
531,,2022-10-21 15:14,은행,식비,,마라찜닭(11월2일지출)-공룡색칠소희이장,6980,지출,
532,,2022-10-20 19:59,은행,식비,,맘스터치-채희퍼랭지니몽실가연,7500,지출,
533,,2022-10-19 19:59,은행,문화생활,,체인소맨분철,4900,지출,
534,,2022-10-18 19:58,은행,식비,,삼첩분식-하.. 한 10명 공대팀토방,6618,지출,
535,,2022-10-16 17:29,현금,교통/차량,,"50,000원",50000,지출,
536,537,2022-10-15 19:55,은행,식비,,누룽지통닭-가람소민세원요롱몽실,11000,지출,
537,,2022-10-15 19:55,일정,약속,,홍제동모임,11000,,
538,,2022-10-15 19:55,은행,식비,,편의점,5700,지출,
539,,2022-10-13 15:15,은행,식비,,돈우마미,8000,지출,
540,,2022-10-13 15:15,은행,식비,,클로리스-필수날숙지니,9900,지출,
541,,2022-10-13 15:15,은행,문화생활,,넷플,4250,지출,
542,544,2022-10-12 15:11,은행,식비,,카페페라-몽실영수딩딩오구날숙,12700,지출,
543,,2022-10-12 15:11,은행,식비,,딸기골-몽실,5500,지출,
544,,2022-10-12 15:11,일정,약속,,그탐동모임,12700,,
545,,2022-10-12 15:11,은행,식비,,생협훈제란,1450,지출,
546,,2022-10-07 15:11,은행,식비,,삼첩분식-지민,10000,지출,
547,,2022-10-05 15:09,은행,기타,,해비타트,10000,지출,
548,,2022-10-05 15:09,은행,식비,,딸기골-영수(성준수),5500,지출,
549,,2022-10-04 15:09,은행,문화생활,,긴히지시리얼컵,15000,지출,
550,,2022-10-02 15:08,은행,문화생활,,리디충전,50000,지출,
551,,2022-10-01 15:08,은행,문화생활,,리디충전,10000,지출,
552,,2022-10-01 15:07,은행,용돈,,,300000,수입,
553,,2022-09-29 15:36,은행,식비,,두끼-요롱날숙은비,10000,지출,
554,,2022-09-28 15:34,은행,식비,,닭강정-피로퍼랭아지니몽실티밀,7400,지출,
555,,2022-09-27 15:34,은행,문화생활,,봄툰충전,11900,지출,
556,,2022-09-26 20:52,은행,식비,,딸기골-영수하린,7000,지출,
557,,2022-09-25 20:52,은행,문화생활,,네이버페이-쿠키백사부,10000,지출,
558,,2022-09-23 20:51,은행,식비,,집앞탐탐,5000,지출,
559,,2022-09-22 20:51,은행,문화생활,,먼동제네컷,2500,지출,
560,,2022-09-21 19:13,은행,식비,,공대학식-영수은비필수,5500,지출,
561,563,2022-09-20 19:12,은행,식비,,한강닭강정,7000,지출,
562,563,2022-09-20 19:12,은행,기타,,한강돗자리-피로은비윤애영수호빵지니,8000,지출,
563,,2022-09-20 19:12,일정,약속,,한강팟,15000,,
564,,2022-09-19 19:11,은행,식비,,생협훈제란,1450,지출,
565,,2022-09-17 19:10,은행,문화생활,,포타충전+마라탕-지민,10000,지출,
566,,2022-09-16 19:10,현금,교통/차량,,,50000,지출,
567,568,2022-09-16 19:10,은행,식비,,대동제,7000,지출,
568,,2022-09-16 19:10,일정,일정,,대동제,7000,,
569,572,2022-09-14 19:09,은행,식비,,현재케이크-몽실오구자림샌드,6000,지출,
570,572,2022-09-14 19:09,은행,식비,,죠티-몽실오구자림샌드,14900,지출,
571,572,2022-09-13 19:08,은행,식비,,탐탐-오구자림몽실샌드,5000,지출,
572,,2022-09-13 19:08,일정,약속,,죠티팟,25900,,
573,,2022-09-11 21:39,은행,문화생활,,넷플,4250,지출,
574,,2022-09-09 19:15,현금,용돈,,주아언니,50000,수입,
575,,2022-09-06 21:39,은행,생활용품,,폰케이스,5000,지출,
576,,2022-09-05 21:38,은행,기타,,해비타트,10000,지출,
577,,2022-09-05 21:38,은행,문화생활,,긴토키인형,22000,지출,
578,,2022-09-05 21:38,은행,기타,,쮸밥반택,1600,지출,
579,,2022-09-04 21:37,은행,기타,,쮸밥,13000,수입,
580,,2022-09-02 21:37,은행,문화생활,,톳시인형,24000,지출,
581,,2022-09-01 9:24,은행,용돈,,,300000,수입,
582,584,2022-08-30 10:29,은행,식비,,카페더빈마켓,6716,지출,
583,584,2022-08-30 10:29,은행,식비,,천미천훠궈-자림몽실요구흐물샌드,18900,지출,
584,,2022-08-30 10:29,일정,약속,,훠궈팟,25616,,
585,,2022-08-29 10:29,은행,기타,,카카오페이-비차출국,10000,지출,
586,,2022-08-28 10:28,은행,문화생활,,은혼프박,4000,지출,
587,589,2022-08-26 10:27,은행,경조사/회비,,꽃-오구졸업,8500,지출,
588,589,2022-08-26 10:27,은행,식비,,이디야-몽실딱지은비윤애,3900,지출,
589,,2022-08-26 10:27,일정,약속,,오구 졸업식,12400,,
590,593,2022-08-24 10:26,은행,문화생활,,영화놉,14000,지출,
591,593,2022-08-24 10:26,은행,식비,,첫만남카페,11000,지출,
592,593,2022-08-24 10:26,은행,식비,,하이디라오-비차피치둥이,31400,지출,
593,,2022-08-24 10:26,일정,약속,,하이디라오팟,56400,,
594,,2022-08-20 19:03,은행,문화생활,,네이버페이-레진,10000,지출,
595,,2022-08-17 19:02,은행,문화생활,,히지아크릴,3340,지출,
596,,2022-08-17 19:02,은행,경조사/회비,,인영이언니생일,25237,지출,
597,,2022-08-13 19:02,은행,문화생활,,은혼굿즈,31000,지출,
598,,2022-08-11 19:01,은행,문화생활,,넷플,4250,지출,
599,,2022-08-10 20:50,은행,식비,,케이크,12000,지출,
600,602,2022-08-10 20:50,은행,식비,,아이엠아르띠스타카페-나연,7900,지출,
601,602,2022-08-10 20:50,은행,식비,,옥천매운족발-나연,15500,지출,
602,,2022-08-10 20:50,일정,약속,,나연전시회,23400,,
603,,2022-08-09 20:49,은행,기타,,피씨방,3000,지출,
604,607,2022-08-08 20:46,은행,기타,,자림생일,2890,지출,
605,607,2022-08-08 20:46,은행,식비,,자림생일,21100,지출,
606,607,2022-08-08 20:45,은행,기타,,자림생일,5200,지출,
607,,2022-08-08 20:45,일정,약속,,자림생일,29190,,
608,,2022-08-05 20:45,은행,기타,,해비타트,10000,지출,
609,,2022-08-05 20:45,은행,문화생활,,봄툰,11900,지출,
610,,2022-08-01 20:45,은행,용돈,,,300000,수입,
611,614,2022-07-30 18:30,은행,식비,,김밥천지-몽실영수,5000,지출,
612,614,2022-07-30 18:30,은행,식비,,와플-오구영수몽실은비쿠스요롱,2150,지출,
613,614,2022-07-30 18:30,은행,기타,,카카오페이-마샹빙수노래방-오구은비쿠스몽실요롱영수,20000,지출,
614,,2022-07-30 18:30,일정,약속,,몽실이집,27150,,
615,,2022-07-27 18:29,은행,문화생활,,네이버페이-시리즈쿠키,10000,지출,
616,,2022-07-25 18:29,은행,문화생활,,더비뒷풀이대실,18000,지출,
617,,2022-07-23 18:28,은행,문화생활,,네이버페이-미스터블루,10000,지출,
618,,2022-07-20 18:27,은행,식비,,엽떡-지민,10000,지출,
619,,2022-07-19 18:26,현금,교통/차량,,교통카드,50000,지출,
620,,2022-07-19 18:26,은행,식비,,카공-피로,5400,지출,
621,623,2022-07-18 18:21,은행,식비,,카페-공룡영수,10500,지출,
622,623,2022-07-18 18:21,은행,문화생활,,벽돌해피푸드+포토시그니쳐-공룡영수,20800,지출,
623,,2022-07-18 18:21,일정,약속,,가연영수벽해푸,31300,,
624,,2022-07-18 18:21,은행,문화생활,,봄툰충전,11900,지출,
625,,2022-07-12 18:21,은행,식비,,마라샹궈-지민,5250,지출,
626,627,2022-07-11 18:20,은행,문화생활,,교보문고공책-애기//인영이언니만남,11500,지출,
627,,2022-07-11 18:20,일정,약속,,인영이언니만남,11500,,
628,,2022-07-11 18:20,은행,문화생활,,넷플,4250,지출,
629,632,2022-07-09 17:33,은행,식비,,카페공명-오구요롱샌드몽실,8400,지출,
630,632,2022-07-09 17:33,은행,식비,,양꼬치-오구요롱샌드몽실,21400,지출,
631,632,2022-07-09 17:33,은행,문화생활,,소고네컷-딩딩,8000,지출,
632,,2022-07-09 17:33,일정,약속,,딩딩데이트-양꼬치팟,37800,,
633,,2022-07-08 18:14,은행,문화생활,,카츠라 컵,14000,지출,
634,,2022-07-07 18:14,은행,기타,,노원구지방소득,75000,수입,
635,,2022-07-06 18:13,은행,식비,,공차-지민,5900,지출,
636,,2022-07-05 18:12,은행,기타,,해비타트,10000,지출,
637,,2022-07-05 18:12,은행,문화생활,,단데기회지,8000,지출,
638,638,2022-07-02 17:34,은행,식비,,훠궈빙수-날숙,24900,지출,
639,,2022-07-02 17:34,일정,약속,,날숙데이트,24900,,
640,,2022-07-01 17:33,은행,용돈,,,300000,수입,
641,642,2022-06-26 17:33,은행,기타,,엠티,9883,지출,
642,,2022-06-26 17:33,일정,약속,,양평엠티,9883,,
643,,2022-06-23 17:28,은행,기타,,국고환급,750000,수입,
644,,2022-06-22 17:27,은행,문화생활,,몹싸회지,20300,지출,
645,647,2022-06-22 17:27,은행,식비,,빌리엔젤,5300,지출,
646,647,2022-06-22 17:27,은행,식비,,하이디라오-재철호빵은비레기,18000,지출,
647,,2022-06-22 17:27,일정,약속,,하이디라오팟,23300,,
648,,2022-06-20 17:26,은행,문화생활,,히사이시조콘서트,61000,지출,
649,,2022-06-20 17:26,은행,문화생활,,봄툰충전,11900,지출,
650,,2022-06-18 17:26,은행,식비,,탐탐-지민,10700,지출,
651,,2022-06-17 17:25,은행,문화생활,,히지아크릴,16008,지출,
652,,2022-06-15 17:19,은행,문화생활,,만카,10500,지출,
653,655,2022-06-15 17:19,은행,기타,,인생네컷,5000,지출,
654,655,2022-06-15 17:19,은행,식비,,우육면어쩌고-은비,14450,지출,
655,,2022-06-15 17:19,일정,약속,,은비데이트,19450,,
656,,2022-06-13 16:59,은행,문화생활,,넷플,4250,지출,
657,,2022-06-12 16:58,은행,식비,,학공찜닭이디야-비차샌드쿠스윤애오구영수,13108,지출,
658,,2022-06-08 16:57,은행,식비,,블루마일스-지민,10700,지출,
659,,2022-06-07 16:57,은행,기타,,해비타트,10000,지출,
660,661,2022-06-06 16:57,은행,식비,,용용선생-공룡,37200,지출,
661,,2022-06-06 16:57,일정,약속,,팀플,37200,,
662,,2022-06-05 16:55,은행,식비,,잠실카공-샌드,12300,지출,
663,,2022-06-04 16:55,은행,문화생활,,긴히지포카,7000,지출,
664,666,2022-06-03 16:54,은행,식비,,할리스-오구은비샌드쿠스,10520,지출,
665,666,2022-06-03 16:54,은행,식비,,산청자매훠궈-은비오구샌드쿠스,18000,지출,
666,,2022-06-03 16:54,일정,약속,,저녁팟,28520,,
667,,2022-06-01 16:01,은행,식비,,집앞탐탐,5000,지출,
668,,2022-06-01 16:01,은행,용돈,,,300000,수입,
669,,2022-05-31 16:00,은행,기타,,스터디벌금,3000,지출,
670,672,2022-05-29 15:59,은행,기타,,꽃-자림데뷔,5500,지출,
671,672,2022-05-29 15:59,은행,식비,,치킨-자림데뷔,6300,지출,
672,,2022-05-29 15:59,일정,약속,,자림이 데뷔일,11800,,
673,,2022-05-29 15:59,은행,식비,,팔공티,4000,지출,
674,676,2022-05-24 15:57,은행,식비,,후토마끼+카페-용한비차샌드(카카오페이충전),30000,지출,
675,676,2022-05-24 15:57,은행,식비,,탐탐-샌드비차용한,5300,지출,
676,,2022-05-24 15:57,일정,약속,,후토마끼팟,35300,,
677,,2022-05-23 15:56,은행,식비,,레모네이드(순대볶음용..),1000,지출,
678,,2022-05-23 15:56,은행,식비,,생협,5700,지출,
679,,2022-05-23 15:56,은행,식비,,공대학식,4900,지출,
680,,2022-05-22 15:55,은행,문화생활,,봄툰충전,11900,지출,
681,,2022-05-20 15:54,은행,건강,,발 물리치료+약,21400,지출,
682,,2022-05-17 14:27,은행,기타,,웹캠커버,4500,지출,
683,,2022-05-16 14:26,은행,식비,,마라탕-애기,20000,지출,
684,,2022-05-16 14:26,은행,기타,,달쥬,80000,수입,
685,,2022-05-13 15:29,은행,문화생활,,네이버페이-시리즈쿠키,10000,지출,
686,689,2022-05-13 15:29,은행,식비,,카페-오구흐물,9100,지출,
687,,2022-05-12 15:29,은행,식비,,어버이날(기타),15000,지출,
688,689,2022-05-12 15:29,은행,식비,,훠궈-오구흐물,20600,지출,
689,,2022-05-12 15:29,일정,약속,,오구흐물데이트,29700,,
690,,2022-05-11 15:29,은행,문화생활,,넷플,4250,지출,
691,,2022-05-08 15:28,은행,문화생활,,노원문구,10550,지출,
692,,2022-05-06 11:22,은행,기타,,해비타트,10000,지출,
693,,2022-05-06 11:22,은행,기타,,어버이날(tgi),52500,지출,
694,,2022-05-06 11:22,은행,식비,,복숭아녹차,1000,지출,
695,,2022-05-06 11:21,은행,기타,,교복포카3기키트,60000,수입,
696,697,2022-05-05 11:20,은행,식비,,솥밥만카떡볶이-딩딩짝아피치,36500,지출,
697,,2022-05-05 11:20,일정,약속,,히지생카,41500,,
698,697,2022-05-05 11:20,은행,문화생활,,프박(주식회사나인나인),5000,지출,
699,,2022-05-03 11:19,은행,문화생활,,미스터블루,10000,지출,
700,,2022-05-02 14:33,은행,용돈,,,300000,수입,
701,702,2022-05-01 14:34,은행,식비,,한강도시락팟,7530,지출,
702,,2022-05-01 14:34,일정,약속,,한강도시락팟,7530,,
703,,2022-04-30 19:51,은행,식비,,떡베이컨,8980,지출,
704,706,2022-04-30 19:51,은행,식비,,칼제비-짝아,21000,지출,
705,706,2022-04-30 19:51,은행,교통/차량,,자전거-짝아,12000,지출,
706,,2022-04-30 19:51,일정,약속,,자전거데이트,33000,,
707,,2022-04-28 19:50,은행,문화생활,,봄툰충전,11900,지출,
708,,2022-04-23 22:57,현금,교통/차량,,교통카드,50000,지출,
709,,2022-04-23 21:24,은행,식비,,신전-쿠스비차오구,8875,지출,
710,,2022-04-21 21:24,은행,식비,,마라탕초콜릿-비차,12410,지출,
711,,2022-04-20 21:23,은행,식비,,지에스-지민,7400,지출,
712,,2022-04-17 21:25,현금,문화생활,,은혼,55000,지출,
713,,2022-04-17 3:11,은행,문화생활,,넷플,4250,지출,
714,,2022-04-16 3:11,은행,식비,,카공긴자료코-피로비차은비,14500,지출,
715,,2022-04-15 3:10,은행,식비,,팔공티,5000,지출,
716,,2022-04-12 3:10,은행,식비,,파스타리코-샌드비차,8500,지출,
717,,2022-04-11 3:09,은행,기타,,스터디벌금,500,지출,
